myFlowerExperiment | INFO flwr 2024-05-05 17:59:14,463 | app.py:150 | Starting Flower server, config: num_rounds=10, no round_timeout
myFlowerExperiment | INFO flwr 2024-05-05 17:59:14,477 | app.py:163 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2024-05-05 17:59:14,478 | server.py:92 | [INIT]
myFlowerExperiment | INFO flwr 2024-05-05 17:59:14,478 | server.py:279 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-05-05 18:11:01,260 | server.py:285 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-05-05 18:11:01,261 | server.py:94 | Evaluating initial global parameters
myFlowerExperiment | INFO flwr 2024-05-05 18:11:01,673 | server.py:97 | initial parameters (loss, other metrics): 1.4618074893951416, {'accuracy': 0.17766498029232025}
myFlowerExperiment | INFO flwr 2024-05-05 18:11:01,673 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-05-05 18:11:01,673 | server.py:111 | [ROUND 1]
myFlowerExperiment | INFO flwr 2024-05-05 18:11:22,407 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-05-05 18:11:46,924 | server.py:238 | aggregate_fit: received 2 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-05-05 18:11:46,945 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,458 | server.py:129 | fit progress: (1, 4.014928817749023, {'accuracy': 0.3604061007499695}, 45.78438216599898)
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,458 | server.py:176 | configure_evaluate: strategy sampled 7 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,780 | server.py:190 | aggregate_evaluate: received 7 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-05-05 18:11:47,781 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,781 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,781 | server.py:111 | [ROUND 2]
myFlowerExperiment | INFO flwr 2024-05-05 18:11:47,781 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:12:41,918 | server.py:238 | aggregate_fit: received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,347 | server.py:129 | fit progress: (2, 4.198651313781738, {'accuracy': 0.4974619150161743}, 100.6736521250059)
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,347 | server.py:176 | configure_evaluate: strategy sampled 7 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,534 | server.py:190 | aggregate_evaluate: received 7 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,534 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,534 | server.py:111 | [ROUND 3]
myFlowerExperiment | INFO flwr 2024-05-05 18:12:42,534 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:13:38,856 | server.py:238 | aggregate_fit: received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,288 | server.py:129 | fit progress: (3, 3.5356245040893555, {'accuracy': 0.39340102672576904}, 157.61500050000177)
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,288 | server.py:176 | configure_evaluate: strategy sampled 7 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,492 | server.py:190 | aggregate_evaluate: received 7 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,492 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,492 | server.py:111 | [ROUND 4]
myFlowerExperiment | INFO flwr 2024-05-05 18:13:39,492 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:14:33,324 | server.py:238 | aggregate_fit: received 5 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:14:33,746 | server.py:129 | fit progress: (4, 4.524494647979736, {'accuracy': 0.3401015102863312}, 212.07308687500336)
myFlowerExperiment | INFO flwr 2024-05-05 18:14:33,746 | server.py:176 | configure_evaluate: strategy sampled 7 clients (out of 7)
myFlowerExperiment | INFO flwr 2024-05-05 18:14:34,152 | server.py:190 | aggregate_evaluate: received 7 results and 0 failures
myFlowerExperiment | INFO flwr 2024-05-05 18:14:34,152 | server.py:110 | 
